id,year,month,day,hour,minute,second,sensor1,sensor2
0,2018,10,11,0,29,49,NaN,
1,2018,10,11,0,29,49,NaN,
2,2018,10,11,0,29,49,-1.0,
3,2018,10,11,0,29,49,-1.0,
4,2018,10,11,0,29,49,-1.0,
5,2018,10,11,0,29,50,-1.0,
6,2018,10,11,0,29,50,-1.0,
7,2018,10,11,0,29,50,-1.0,
8,2018,10,11,0,29,50,-1.0,
9,2018,10,11,0,29,50,-1.0,
10,2018,10,11,0,29,50,-1.0,
11,2018,10,11,0,29,50,-1.0,
12,2018,10,11,0,29,50,-1.0,
13,2018,10,11,0,29,50,-1.0,
14,2018,10,11,0,29,51,-1.0,
15,2018,10,11,0,29,51,-1.0,
16,2018,10,11,0,29,51,-1.0,
17,2018,10,11,0,29,51,-1.0,
18,2018,10,11,0,29,51,-1.0,
19,2018,10,11,0,29,51,-1.0,
